Protein "Molecular weight (g/mol)" d00 d05 d10 d20 d20+06h d20+48h d00 d05 d10 d20 d20+06h d20+48h
Rv1084 71050.3 72 85 96 95 102 65 6.9 1.4 11.3 10.8 2.1 16.7
Rv1086 29378.2 57 82 107 85 102 69 4.4 7.2 0.8 22.0 6.5 2.2
Rv1092c 35656.9 155 128 135 119 134 134 9.7 9.2 12.2 14.6 7.6 21.7
Rv1093 45029.4 1114 1345 1409 1151 1309 1324 59.8 26.8 20.4 60.0 13.7 220.8
Rv1094 31359.5 2180 9258 14045 9871 9335 3180 134.0 607.2 3065.3 701.4 625.9 336.7
Rv1095 46881.5 115 214 263 213 238 126 32.7 40.4 24.1 26.9 41.7 4.6
Rv1096 31077.1 332 340 198 102 94 255 19.0 11.5 12.7 8.0 4.6 41.7
Rv1097c 29873.6 172 148 154 146 167 146 10.4 11.2 26.7 6.7 25.1 11.8
Rv1098c 50141.0 1167 1203 1036 925 1089 1079 147.3 115.2 93.6 35.1 54.5 213.7
Rv1099c 38084.0 876 1035 922 818 869 944 88.6 101.6 91.1 169.9 75.6 124.6
Rv1100 24562.7 189 198 210 159 173 171 11.1 12.0 10.5 18.7 18.8 17.3
Rv1101c 41698.6 71 66 69 60 62 63 5.0 6.1 4.1 2.7 16.2 7.0
Rv1103c 11394.8 225 208 207 195 215 185 27.5 43.3 54.1 10.6 36.8 79.5
Rv1106c 40741.6 333 338 270 248 242 260 49.4 7.4 5.8 30.2 16.2 83.8
Rv1108c 44596.3 36 21 28 32 30 24 2.5 5.7 2.0 6.7 3.5 1.3
Rv1109c 22957.2 184 168 167 215 208 232 39.8 33.2 29.1 25.9 23.7 30.9
Rv1110 36297.1 120 176 174 151 172 108 20.0 9.0 32.5 5.9 8.2 4.2
Rv1111c 36984.7 111 80 63 65 64 99 13.0 14.8 22.6 4.5 9.0 21.0
Rv1112 38065.2 243 249 249 267 261 260 20.8 8.8 7.2 44.9 14.3 33.2
Rv1113 6973.0 90 79 76 74 77 80 6.9 7.5 12.5 7.4 13.2 16.8
Rv1117 12049.6 134 124 113 84 92 126 11.4 11.0 24.2 6.1 6.9 9.7
Rv1118c 32157.5 122 113 94 83 98 123 9.1 4.8 5.4 6.6 12.2 7.6
Rv1121 52155.3 129 123 127 118 136 123 9.0 25.3 4.7 4.8 18.6 8.7
Rv1122 36358.1 562 656 646 551 586 778 34.3 13.9 52.4 27.3 30.1 94.5
Rv1124 34694.6 168 179 187 179 199 165 22.0 13.5 15.0 10.2 14.6 8.3
Rv1126c 22197.3 151 275 207 208 213 197 17.5 18.9 32.0 33.4 7.1 92.5
Rv1127c 52004.7 19 22 27 21 21 18 1.5 1.3 4.7 3.6 5.6 2.1
Rv1130 57750.6 87 118 102 104 214 145 9.1 20.8 19.6 34.1 42.3 24.0
Rv1131 42969.4 21 30 24 42 82 28 4.0 5.9 9.2 25.9 29.3 5.2
Rv1132 64019.7 109 132 130 121 142 122 5.3 3.0 16.6 3.2 10.2 10.0
Rv1133c 81549.5 9565 9102 8361 7370 8003 9795 745.7 1245.5 1075.0 266.1 571.1 1403.2
Rv1140 30425.8 241 316 271 283 321 352 13.2 36.6 138.4 12.2 23.4 64.8
Rv1141c 27615.8 187 178 167 175 157 184 23.8 12.9 4.4 26.7 11.7 17.3
Rv1142c 27648.9 140 122 88 92 102 133 30.1 11.1 15.5 3.3 13.7 18.6
Rv1143 38684.9 116 127 79 113 109 118 32.3 11.9 34.0 25.1 7.7 10.4
Rv1144 25787.8 594 618 569 496 506 652 62.5 44.3 69.2 22.4 26.3 87.2
Rv1151c 25661.0 51 62 56 53 48 48 5.5 4.6 9.9 6.7 5.8 9.1
Rv1152 13082.0 136 164 155 130 149 126 17.2 8.4 17.1 16.7 17.4 42.3
Rv1155 16300.5 55 103 70 65 66 76 8.4 25.2 19.5 16.8 5.1 14.9
Rv1156 20839.9 175 212 190 137 145 138 1.3 17.5 15.4 17.3 17.2 34.3
Rv1159A 10379.8 147 182 224 193 245 186 20.4 14.0 26.0 50.8 13.9 26.9
Rv1160 15160.3 81 70 66 48 72 77 0.8 8.3 9.6 19.0 6.9 27.3
Rv1161 136924.0 143 181 196 176 192 141 23.3 11.4 26.4 12.1 8.4 13.0
Rv1162 62037.8 102 120 145 143 128 93 8.3 19.3 58.8 23.6 13.5 9.2
Rv1165 67548.2 354 313 341 262 319 372 56.0 64.9 113.6 25.7 32.3 47.7
Rv1166 66130.2 165 179 169 135 163 187 16.3 23.5 15.5 21.5 11.1 30.6
Rv1167c 21962.4 118 92 73 76 85 103 6.5 12.8 6.2 2.8 10.0 19.5
Rv1170 31742.3 192 220 163 146 163 178 54.8 33.8 15.8 4.2 5.3 20.2
Rv1173 92474.2 64 87 66 59 61 64 10.9 4.2 3.0 7.2 6.8 11.3
Rv1175c 72901.5 328 1366 1876 1708 1828 579 18.1 345.0 120.6 422.5 299.3 8.1
Rv1177 11807.1 1838 2896 3989 3024 3185 2172 592.4 316.8 862.4 150.4 485.3 287.3
Rv1178 37702.2 271 369 470 393 442 334 2.2 38.6 29.2 30.3 35.0 15.8
Rv1179c 100642.0 57 55 63 59 63 50 6.8 7.9 5.1 9.2 4.4 4.3
Rv1180 50566.5 188 161 168 113 137 165 23.1 12.1 19.8 21.2 12.7 23.2
Rv1181 168084.0 416 275 353 302 295 341 51.2 32.2 51.5 51.9 56.0 12.4
Rv1182 51575.4 97 83 62 51 65 79 13.6 9.3 4.4 6.3 4.2 8.5
Rv1185c 62756.9 676 574 451 336 354 648 29.9 2.8 7.9 13.6 27.2 120.9
Rv1187 58841.4 65 70 98 83 90 80 14.6 3.0 11.2 6.9 8.2 12.5
Rv1191 32611.6 272 232 211 228 228 260 16.1 25.4 43.5 9.0 14.4 47.9
Rv1192 30212.8 258 207 143 138 151 297 101.1 1.3 19.5 18.4 31.6 12.2
Rv1193 49488.3 296 286 260 247 251 318 17.8 29.6 2.1 10.5 11.8 55.8
Rv1194c 46066.0 171 313 367 280 306 206 47.2 64.2 21.0 18.1 39.4 65.8
Rv1196 39158.4 428 362 309 247 234 261 40.1 52.6 22.1 59.9 34.6 116.7
Rv1201c 32609.8 1329 1272 1220 943 1037 1381 65.9 105.0 118.2 5.3 111.8 389.3
Rv1202 37241.0 234 247 247 198 229 260 9.9 21.7 8.1 3.8 8.9 39.3
Rv1204c 59219.2 41 24 33 30 28 34 1.9 3.5 1.2 4.8 2.4 4.9
Rv1206 64305.0 315 297 247 243 260 254 31.4 38.0 33.9 10.1 25.6 26.6
Rv1207 33013.7 163 131 115 107 128 147 9.1 6.0 2.1 10.5 18.3 21.5
Rv1209 13089.0 179 157 106 102 108 183 27.0 26.1 20.4 28.2 39.5 31.8
Rv1210 22973.0 129 104 96 84 111 124 56.7 7.8 10.2 14.9 2.4 12.1
Rv1211 7809.9 4064 3565 3196 2779 2747 2974 714.0 229.8 252.7 171.0 141.4 288.9
Rv1213 43800.4 81 108 117 103 110 82 19.2 4.6 6.9 11.1 16.2 23.4
Rv1215c 62578.9 130 2324 3093 3074 2189 294 17.0 845.9 1670.0 1910.1 1830.6 282.0
Rv1218c 33448.1 220 313 309 309 325 223 13.6 13.4 7.4 20.6 11.4 35.9
Rv1220c 22107.1 273 342 330 334 336 287 28.4 16.2 36.9 30.2 24.7 48.0
Rv1221 28877.2 63 69 79 122 215 66 9.2 3.9 4.5 14.5 13.1 11.7
Rv1223 54157.6 474 468 432 372 405 493 52.4 9.6 56.4 52.5 39.3 59.9
Rv1229c 41063.3 578 499 499 476 468 563 19.1 42.1 84.7 29.8 12.1 53.9
Rv1231c 20413.3 67 80 70 77 71 66 5.2 1.9 6.7 5.9 5.5 2.5
Rv1232c 47374.4 227 214 228 214 251 206 28.1 20.3 27.7 20.7 40.5 39.6
Rv1234 18604.5 337 357 409 310 408 377 12.4 33.9 15.6 25.9 34.7 66.5
Rv1235 49761.4 116 97 86 81 97 92 12.0 5.0 7.1 5.3 10.5 9.2
Rv1238 42915.2 271 268 215 212 213 254 7.4 14.9 37.1 11.3 10.1 64.4
Rv1239c 41468.8 335 254 262 217 292 308 54.6 26.0 11.6 70.4 19.6 15.8
Rv1240 34289.7 3149 3773 3672 3602 3495 3868 322.4 23.7 255.6 126.5 109.5 828.4
Rv1241 9918.3 69 47 41 46 49 59 13.4 8.3 4.7 8.0 9.8 2.2
Rv1242 15873.1 61 47 48 45 50 46 4.3 8.7 18.2 2.5 12.3 6.6
Rv1244 29569.9 17 12 8 9 8 14 0.7 0.1 1.8 0.4 0.9 2.3
Rv1245c 29215.3 258 249 346 326 353 306 23.7 73.6 40.6 57.2 36.2 5.9
Rv1248c 135870.0 971 876 855 908 930 1006 52.1 73.1 138.4 110.8 76.6 188.9
Rv1257c 47237.9 166 149 148 120 135 161 19.4 8.9 12.1 9.0 9.5 16.8
Rv1259 31783.6 48 46 54 42 45 45 5.7 16.2 8.6 5.7 3.5 20.4
Rv1260 41297.2 229 250 283 283 295 274 28.4 6.2 26.1 35.1 31.7 40.6
Rv1261c 16756.0 528 385 350 502 459 494 78.1 20.2 147.6 97.2 72.7 38.5
Rv1263 49048.9 105 112 103 107 119 121 15.8 9.1 4.5 19.4 2.6 26.6
Rv1264 42200.0 55 73 77 76 84 84 4.8 1.8 3.9 6.6 2.8 8.2
Rv1265 25229.7 159 182 234 217 252 234 1.2 9.8 11.9 50.2 25.0 28.9
Rv1266c 66753.9 202 219 183 198 201 198 14.9 23.1 35.2 50.8 39.8 24.0
Rv1267c 41933.5 288 272 305 264 303 252 52.7 3.1 21.1 20.3 15.0 47.1
Rv1269c 12550.2 523 437 436 368 303 387 197.6 46.1 31.5 32.2 17.9 86.8
Rv1270c 24874.0 716 577 456 304 363 486 127.6 35.6 30.8 87.5 69.6 92.4
Rv1274 19707.2 315 320 267 274 306 347 35.3 24.2 57.2 17.7 55.4 22.3
Rv1275 18870.7 367 406 344 315 357 475 30.7 23.3 12.5 18.0 46.2 51.3
Rv1276c 16461.7 267 258 256 270 279 274 38.8 16.0 12.4 39.8 17.3 74.7
Rv1277 44758.6 47 54 55 53 49 79 5.9 10.9 14.8 3.3 7.3 9.1
Rv1278 93318.8 42 44 33 32 38 88 8.8 0.6 10.1 6.6 4.2 21.9
Rv1279 57331.2 158 157 210 145 160 161 26.5 6.2 48.5 19.4 10.1 7.9
Rv1280c 63444.5 66 78 78 75 82 71 12.8 5.4 8.9 11.5 7.8 3.2
Rv1281c 65293.0 157 165 176 153 158 161 5.2 8.8 8.6 15.9 2.4 25.4
Rv1284 18156.7 1957 4649 6102 5816 5663 2524 134.6 828.1 1614.8 1785.2 1357.6 643.4
Rv1285 37512.5 277 302 261 205 273 217 16.8 26.6 6.6 19.8 34.0 48.3
Rv1286 67838.9 280 291 254 241 279 203 71.9 66.1 11.6 18.8 7.0 47.2
Rv1287 17209.4 90 113 108 98 101 107 7.0 10.0 11.7 2.9 20.9 18.2
Rv1288 49618.9 249 253 263 297 230 225 111.6 11.6 8.2 93.7 6.3 56.8
Rv1290c 55995.7 23 28 27 25 29 27 7.5 2.2 0.6 0.4 3.6 5.4
Rv1292 59677.4 303 443 548 307 343 362 5.6 150.4 338.4 6.4 29.2 67.2
Rv1293 47425.9 229 270 260 229 252 265 8.8 2.9 10.9 16.8 20.7 22.4
Rv1294 45520.7 718 847 876 872 906 1076 21.9 30.5 86.8 46.8 20.9 104.3
Rv1295 37321.9 433 489 479 412 410 503 24.9 15.7 21.3 22.3 50.9 80.8
Rv1296 32346.4 336 197 193 308 222 265 159.4 9.9 8.0 195.2 24.6 29.4
Rv1297 65101.4 1678 1296 964 896 1248 1739 112.6 131.5 283.7 73.0 79.7 303.2
Rv1298 8753.0 522 548 311 286 399 529 63.0 130.5 24.5 18.8 50.6 154.0
Rv1299 39036.5 230 229 224 195 222 263 21.0 10.9 35.7 18.7 10.6 38.5
Rv1301 22552.7 235 231 227 210 216 271 24.5 14.2 8.7 6.1 6.1 29.9
Rv1304 27466.6 130 118 136 117 143 108 31.3 9.2 15.2 5.1 18.9 3.9
Rv1306 18324.8 294 303 395 339 362 309 52.6 62.7 79.2 12.9 15.1 49.5
Rv1307 48805.8 1255 1275 1445 1362 1606 1316 67.5 84.6 107.2 81.0 143.8 73.7
Rv1308 59288.3 3604 4112 4293 3447 3873 3906 242.6 354.8 144.3 320.3 106.4 1057.3
Rv1309 33890.4 1273 1255 1041 1009 1136 1196 41.3 173.7 161.9 94.9 81.3 65.6
Rv1310 53094.2 4846 5525 6103 5084 5351 5139 173.7 160.5 513.1 341.3 289.0 731.9
Rv1311 13134.8 1190 1013 900 1010 987 1075 99.0 162.2 167.4 64.4 115.9 110.9
Rv1312 16594.4 54 79 99 86 99 48 8.4 5.1 29.3 15.0 6.5 2.9
Rv1314c 20694.4 137 176 191 171 169 145 17.6 4.6 8.2 16.7 22.3 20.6
Rv1315 44031.4 248 285 268 245 242 252 9.5 8.1 21.4 13.3 12.5 31.2
Rv1316c 17858.2 167 241 226 196 206 321 43.8 28.4 30.1 11.0 10.8 21.4
Rv1322A 16594.1 83 82 67 61 63 100 23.3 15.4 4.4 1.7 9.8 31.4
Rv1323 40048.5 865 1125 1033 858 904 922 203.6 52.2 138.2 61.9 90.6 265.2
Rv1324 32138.2 879 1214 1288 891 1004 1015 35.0 150.8 115.7 97.4 100.7 150.6
Rv1326c 81729.5 63 80 92 79 82 68 8.0 4.8 11.7 11.1 12.5 5.4
Rv1327c 78607.9 220 295 333 279 290 249 9.8 45.7 35.3 16.4 29.6 37.7
Rv1328 95483.3 954 870 831 713 808 951 51.1 86.4 117.4 30.3 16.2 126.9
Rv1329c 70135.5 43 41 51 56 54 44 3.1 10.4 4.9 10.2 11.2 11.1
Rv1330c 47194.6 98 96 94 99 99 84 10.5 11.5 36.3 10.0 7.2 11.7
Rv1331 11221.8 131 138 133 129 141 176 18.4 10.2 20.0 11.0 17.0 21.8
Rv1332 24054.2 83 91 89 72 87 77 2.8 7.6 6.0 6.6 2.1 2.3
Rv1333 33952.8 169 172 152 143 149 159 1.0 7.3 11.8 4.4 2.6 23.8
Rv1334 16497.5 286 241 220 210 244 243 26.5 21.9 46.0 26.3 15.0 41.9
Rv1335 9556.7 708 526 421 423 506 563 69.0 96.6 17.9 44.4 91.9 31.0
Rv1336 34438.0 181 209 183 177 180 209 23.1 27.9 22.0 23.2 13.0 44.8
Rv1338 28642.8 187 178 165 172 174 165 24.4 9.8 16.7 26.8 14.7 25.7
Rv1339 29154.0 179 227 265 210 234 183 36.6 27.7 8.6 17.1 20.2 30.2
Rv1340 27319.0 502 399 375 509 372 410 229.4 24.5 28.7 314.1 23.2 98.4
Rv1341 20983.8 170 193 194 158 144 156 23.5 15.9 21.7 28.3 2.3 22.0
Rv1345 53957.4 38 39 32 33 34 28 0.7 3.0 2.9 4.3 2.5 3.4
Rv1350 25870.9 18 19 17 20 21 18 1.1 1.5 7.0 0.8 3.0 2.5
Rv1360 37251.9 138 122 150 149 139 141 11.2 14.1 8.3 64.4 26.2 29.6
Rv1362c 23471.2 135 130 122 96 96 87 9.0 8.8 6.3 12.2 18.1 17.0
Rv1363c 28308.3 75 93 87 66 75 79 11.3 9.1 13.9 9.3 4.5 15.8
Rv1364c 69524.1 82 69 62 64 76 68 4.7 1.7 8.1 8.3 14.2 19.4
Rv1367c 41325.4 111 107 116 96 109 114 12.3 2.7 17.2 18.1 15.3 10.3
Rv1368 26851.6 157 115 93 70 66 98 15.9 16.5 5.0 4.4 9.3 23.8
Rv1377c 22815.5 150 201 210 172 176 217 19.0 16.1 6.0 14.9 12.2 34.0
Rv1379 20626.5 305 308 346 427 418 381 22.0 30.3 47.9 50.2 19.2 47.5
Rv1380 33818.6 108 110 111 88 101 114 6.2 16.1 19.5 4.7 4.3 22.4
Rv1381 45160.3 231 185 198 202 189 224 21.1 6.6 17.4 37.7 16.3 34.8
Rv1382 18189.1 114 85 64 52 57 106 48.7 8.9 8.7 15.6 15.3 24.2
Rv1383 39748.7 233 190 202 208 214 210 14.8 18.0 10.6 19.4 40.5 51.2
Rv1384 118929.0 176 182 178 152 170 178 4.2 3.0 6.7 10.5 7.2 26.8
Rv1385 27345.2 91 89 81 84 77 90 9.4 5.0 5.6 8.0 6.0 10.8
Rv1386 9830.0 93 44 41 38 43 73 39.8 10.1 2.3 7.6 2.5 26.6
Rv1387 55403.6 154 87 78 119 147 135 43.0 16.6 17.2 7.1 17.9 14.5
Rv1388 20817.1 6642 6542 5675 5389 5504 6830 297.9 764.2 498.0 519.5 158.8 1078.7
Rv1389 22063.2 42 36 35 33 36 37 11.7 4.5 10.9 4.2 4.3 11.6
Rv1390 11810.2 912 761 719 831 904 833 21.6 104.8 38.7 116.4 143.8 52.0
Rv1391 43544.9 351 461 549 449 496 442 26.4 45.1 52.1 23.8 17.8 45.1
Rv1392 43014.6 2527 3373 3044 2753 2973 2941 366.2 147.5 186.3 292.6 170.2 451.9
Rv1398c 9443.6 423 495 461 450 392 314 76.7 44.6 96.3 45.9 39.6 43.0
Rv1399c 33906.5 82 93 83 84 85 87 5.9 8.2 4.7 2.6 3.4 17.3
Rv1400c 34052.7 297 290 234 252 255 313 20.8 23.1 4.7 19.8 7.0 37.4
Rv1404 17521.1 809 1040 1138 938 1012 790 24.5 98.6 161.7 130.5 80.3 116.1
Rv1405c 29262.3 42 62 95 110 98 46 9.0 7.5 4.2 21.3 31.7 4.6
Rv1406 32659.6 124 141 153 144 152 162 6.8 11.6 12.1 5.8 12.4 20.4
Rv1407 48493.4 58 62 62 54 59 60 7.8 7.1 2.3 4.1 5.8 14.4
Rv1408 24073.4 171 238 233 233 217 146 23.2 20.8 15.4 4.8 10.6 45.2
Rv1409 35366.5 514 429 463 509 415 388 205.5 17.2 27.2 198.2 16.1 69.8
Rv1410c 54688.5 76 51 97 94 126 63 1.9 7.0 8.3 9.8 22.9 11.9
Rv1411c 24547.8 762 838 849 609 717 902 24.5 38.5 15.1 127.5 106.6 121.4
Rv1412 21320.2 341 509 477 437 524 418 29.7 62.0 92.1 77.6 14.6 116.0
Rv1415 46017.3 214 275 253 246 252 242 23.5 15.2 22.3 38.6 5.1 19.7
Rv1416 16338.5 494 702 727 580 579 593 27.6 8.7 25.8 66.2 49.0 134.5
Rv1419 16853.1 162 209 183 110 124 193 14.1 18.6 20.2 20.4 8.9 35.8
Rv1420 71582.1 37 73 67 74 91 41 3.5 9.3 38.3 21.2 3.9 2.3
Rv1421 32912.5 157 169 204 160 186 166 29.1 17.4 29.3 28.3 12.2 13.8
Rv1422 35823.2 180 162 149 154 158 199 13.6 10.6 22.3 11.4 7.8 15.8
Rv1423 34933.0 1063 1389 1200 1184 1134 1345 584.1 22.2 71.4 246.3 196.0 153.4
Rv1424c 27427.5 48 47 45 36 41 47 3.9 3.9 2.1 5.4 3.7 2.1
Rv1425 50062.7 44 56 59 52 58 33 8.2 6.0 5.6 7.6 2.4 5.4
Rv1426c 46096.9 120 134 122 92 99 107 7.2 10.1 18.0 4.5 20.2 11.7
Rv1427c 58064.1 134 111 105 99 100 118 6.8 1.6 12.4 5.0 7.9 12.0
Rv1428c 29894.2 62 66 58 50 59 56 3.8 1.3 3.5 9.6 12.0 7.9
Rv1429 46866.7 115 117 130 144 158 117 4.4 26.2 23.9 5.3 18.7 17.6
Rv1436 35923.9 2655 2952 2945 2682 2792 3072 190.1 207.0 178.3 144.2 37.8 428.6
Rv1437 42512.5 922 1010 1006 971 944 981 55.4 67.1 50.3 62.3 3.3 103.6
Rv1438 27371.0 630 711 723 616 641 671 35.3 20.1 14.6 25.5 83.1 152.8
Rv1439c 16026.5 197 209 214 204 205 205 10.0 22.8 2.4 23.9 5.0 33.8
Rv1443c 18284.1 236 276 250 228 275 272 14.5 5.9 14.7 4.2 41.0 33.4
Rv1445c 25772.2 191 209 213 195 195 219 15.4 4.7 8.0 9.9 15.8 60.1
Rv1446c 32717.6 174 124 133 104 165 130 10.6 28.8 18.0 16.3 36.8 29.0
Rv1447c 57343.0 295 222 212 188 209 229 12.4 28.3 27.4 29.0 25.4 17.7
Rv1448c 40720.7 1001 999 1005 860 1017 1259 72.3 68.0 84.8 98.8 90.6 210.7
Rv1449c 75556.7 1372 1392 1325 1137 1309 1382 180.1 146.9 144.2 137.7 228.4 54.0
Rv1454c 34046.5 539 570 518 461 491 555 32.6 56.1 26.1 47.2 45.8 58.9
Rv1455 31426.7 66 79 80 82 95 95 8.5 4.0 11.6 7.4 25.7 23.4
Rv1458c 33726.6 119 115 139 110 145 110 32.4 12.3 51.2 14.2 55.9 31.2
Rv1461 94171.4 422 388 303 285 378 464 83.2 3.4 48.1 50.6 30.7 99.4
Rv1462 42522.6 351 237 217 243 265 356 29.4 6.8 49.5 35.2 9.4 49.8
Rv1463 28822.7 687 554 481 510 553 795 73.4 40.0 18.8 99.2 17.7 47.7
Rv1464 44596.5 401 306 305 519 581 459 76.9 10.9 23.4 174.7 240.1 92.8
Rv1465 17678.8 130 88 74 74 78 117 17.6 10.8 3.5 15.2 5.0 18.8
Rv1466 12383.8 693 575 303 318 361 582 153.3 327.3 35.6 41.5 32.4 250.9
Rv1467c 65905.9 326 426 492 402 433 425 29.0 28.6 71.6 38.9 22.5 70.5
Rv1471 13308.9 635 331 247 266 1499 790 118.6 27.4 61.9 20.3 78.8 149.1
Rv1472 30543.1 119 68 56 63 77 120 23.4 14.8 11.2 12.7 17.0 17.0
Rv1473 58392.2 110 76 114 85 86 120 10.9 4.7 54.4 23.1 10.3 6.5
Rv1474c 21237.2 34 41 40 27 37 31 7.5 4.9 1.7 13.5 6.8 11.3
Rv1475c 102417.0 1621 2145 2085 1667 1790 1633 71.6 180.0 109.0 75.2 152.8 116.9
Rv1476 19601.1 127 108 84 64 76 97 8.5 7.2 2.8 13.2 15.2 5.6
Rv1477 49808.1 29 39 32 28 31 42 1.2 3.5 11.3 10.1 5.0 13.3
Rv1479 40762.9 2473 2565 2299 2054 2372 2826 80.0 62.4 146.7 246.4 212.1 283.0
Rv1480 34301.3 320 334 353 319 394 345 34.3 26.4 52.3 21.2 25.8 52.5
Rv1481 36029.9 139 127 119 101 117 160 30.4 10.4 17.2 4.4 20.6 25.0
Rv1483 25665.2 936 913 874 742 824 1083 64.2 61.2 136.3 72.5 46.9 116.9
Rv1484 28527.8 1101 1185 1111 982 958 1348 56.0 132.0 40.3 17.8 82.2 558.5
Rv1486c 30129.1 67 92 118 121 96 101 3.1 2.1 27.7 18.2 15.2 33.3
Rv1488 41250.2 998 1238 1509 1408 1533 1223 214.8 108.8 55.6 64.3 167.3 88.9
Rv1489 12305.7 343 380 312 236 300 313 33.9 37.1 11.1 14.0 28.9 43.9
Rv1492 64712.3 250 262 237 264 239 209 36.9 23.3 53.5 35.0 40.3 103.9
Rv1493 80604.2 94 104 116 111 113 90 20.2 10.7 6.9 6.4 8.3 8.7
Rv1496 36256.4 204 186 186 149 177 214 0.2 2.7 34.3 20.1 12.1 33.7
Rv1498A 7628.6 1411 1585 1440 1292 1238 1352 82.7 214.8 364.7 424.6 197.6 183.5
Rv1498c 23110.0 193 193 168 145 163 205 5.9 32.0 4.5 15.1 37.2 51.2
Rv1500 38095.1 57 27 30 25 23 39 2.1 1.2 9.0 1.9 3.4 4.8
Rv1501 30906.2 83 89 86 100 112 94 8.8 7.2 41.1 17.4 13.9 21.1
Rv1507c 27072.6 181 146 142 114 125 159 9.2 17.8 29.2 14.4 7.5 18.5
Rv1508c 63856.9 269 177 158 146 115 275 23.8 70.4 62.1 77.9 28.2 44.6
Rv1511 38310.4 520 541 534 466 513 570 4.7 4.7 63.8 40.8 29.6 54.5
Rv1512 34537.2 182 154 146 132 144 174 11.9 8.7 6.8 0.6 3.0 30.3
Rv1513 26684.3 196 199 210 198 218 196 6.2 14.0 26.3 7.1 20.1 15.0
Rv1516c 37932.4 168 140 137 144 161 139 6.1 33.8 39.7 11.5 5.3 25.0
Rv1521 63141.6 406 401 350 327 344 399 41.5 4.2 16.1 34.6 16.6 19.9
Rv1523 37915.0 223 183 200 228 217 229 33.5 33.9 50.4 18.8 22.3 24.7
Rv1524 44362.0 105 57 63 96 79 62 58.9 1.7 12.1 48.5 13.7 12.9
Rv1527c 223857.0 306 196 181 173 198 285 87.8 17.3 7.6 18.5 22.1 119.5
Rv1529 62797.4 33 41 28 33 39 40 3.3 1.1 10.7 2.0 6.8 6.1
Rv1531 20795.7 149 134 131 101 120 129 44.6 16.4 31.0 4.8 16.9 31.8
Rv1533 39620.0 166 179 176 178 200 171 14.4 1.4 19.8 6.6 21.2 33.9
Rv1534 24468.8 59 42 43 39 49 45 4.6 5.6 4.1 2.4 4.5 10.2
Rv1536 117308.0 314 279 295 229 259 296 27.1 4.7 24.7 16.8 22.9 53.3
Rv1538c 32946.5 249 318 308 272 307 297 37.1 1.8 29.0 29.8 24.0 63.2
Rv1540 33016.7 112 122 110 118 133 128 6.9 19.1 24.2 10.9 7.8 33.8
Rv1543 36820.9 688 497 456 384 387 600 250.7 68.6 70.3 49.3 43.7 95.8
Rv1544 28199.6 449 317 433 453 493 320 196.5 110.5 102.3 17.8 65.5 54.5
Rv1546 15324.5 125 132 122 107 114 160 22.0 17.8 20.4 17.2 9.7 34.7
Rv1547 129323.0 151 85 88 89 85 143 29.5 20.1 17.6 13.3 4.7 8.0
Rv1556 22329.5 202 211 278 228 206 172 14.0 17.6 87.5 61.4 92.7 22.4
Rv1558 16347.5 936 959 909 880 810 997 34.9 58.6 55.6 73.0 63.5 153.2
Rv1559 45008.9 462 507 447 406 441 517 51.1 48.3 33.4 22.4 34.8 81.9
Rv1564c 81081.1 101 100 109 101 116 100 16.2 10.9 11.5 7.5 12.6 22.1
Rv1566c 23964.6 409 515 267 190 158 305 138.3 42.5 45.8 7.1 11.5 30.6
Rv1569 40027.9 59 43 34 32 38 57 1.4 9.9 5.3 2.6 1.2 16.0
Rv1576c 50474.4 171 192 182 170 208 203 10.5 48.6 25.1 13.8 18.0 76.7
Rv1578c 17050.5 49 49 36 44 49 46 23.1 5.1 19.2 4.4 6.9 6.5
Rv1579c 11202.2 10 9 11 4 5 9 3.0 0.9 1.2 1.6 1.7 3.4
Rv1586c 51710.2 31 35 44 46 62 30 8.9 10.4 7.5 4.6 2.2 8.7
Rv1589 37517.8 339 188 153 144 160 257 98.7 35.6 14.9 12.1 20.1 47.4
Rv1590 8602.8 50 21 21 21 21 46 11.9 2.4 2.0 8.5 3.6 3.9
Rv1591 23150.8 110 97 99 94 111 106 4.8 17.8 4.5 13.5 16.0 14.5
Rv1592c 48043.1 161 91 96 92 105 186 35.6 8.9 4.4 12.6 13.5 33.3
Rv1593c 25907.8 267 284 433 558 612 405 47.0 143.4 130.6 38.8 71.5 43.4
Rv1594 37408.4 1367 1226 865 786 752 1196 42.9 27.7 155.6 13.3 78.4 130.7
Rv1595 53784.8 281 189 151 114 163 233 8.6 26.2 7.3 10.6 19.7 31.9
Rv1596 29951.1 1123 1166 865 809 946 1241 78.1 48.2 140.3 90.9 120.5 211.5
Rv1598c 14892.4 261 171 281 303 359 216 61.2 72.1 81.1 14.2 27.5 20.4
Rv1599 45346.2 300 385 374 319 340 272 19.3 1.5 42.2 43.8 21.6 28.9
Rv1600 40581.1 316 386 442 404 422 332 37.5 8.2 38.4 3.5 20.6 53.0
Rv1601 22769.6 156 186 266 275 275 169 61.4 51.4 69.1 50.4 43.7 12.6
Rv1602 21386.4 96 115 109 101 111 102 3.6 4.0 10.2 9.1 9.6 8.3
Rv1603 25730.9 315 419 412 388 412 374 25.5 42.5 20.6 62.3 22.6 56.6
Rv1605 27220.9 272 291 232 224 265 230 41.6 27.3 51.1 27.9 41.7 66.3
Rv1609 55816.9 351 447 435 350 360 396 40.8 29.2 61.3 43.0 17.1 50.2
